Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std,Train_Time_s
LogisticRegression_L2,0.8382352941176471,0.8382352941176471,0.8367828930359478,0.8382352941176471,0.8366242001608853,0.7832223928998123,0.025476076001942495,0.047155141830444336
LogisticRegression_ElasticNet,0.8382352941176471,0.8382352941176471,0.8370111752978251,0.8382352941176471,0.8364918711151229,0.7823007339136371,0.025866412603292782,0.04798316955566406
LogisticRegression_L1,0.8382352941176471,0.8382352941176471,0.8370111752978251,0.8382352941176471,0.8364918711151229,0.7795314900153609,0.02747008091421192,0.09879279136657715
SVC_Linear,0.8272058823529411,0.8272058823529412,0.8261208973967351,0.8272058823529411,0.8258849604952355,0.7915130568356374,0.03502009379354527,0.2544517517089844
SVC_RBF,0.8272058823529411,0.8272058823529411,0.8264022435897437,0.8272058823529411,0.824814483616691,0.7924432497013142,0.0391697158008091,0.2326500415802002
MLP_Large,0.8235294117647058,0.8235294117647058,0.8229404581728124,0.8235294117647058,0.8211066609789237,0.7611025772316095,0.038975138613977243,0.3411221504211426
StackingEnsemble,0.8235294117647058,0.8235294117647058,0.8218045112781955,0.8235294117647058,0.8214012427628425,0.8007381805768903,0.018972756517158868,1.8938994407653809
GaussianProcess,0.8198529411764706,0.8198529411764706,0.8208974026430194,0.8198529411764706,0.8172737885200362,0.788752346816863,0.033364810365580075,59.174060344696045
MLP_L2,0.8198529411764706,0.8198529411764706,0.818923210651289,0.8198529411764706,0.8186413503577682,0.7583162655743301,0.0095999923941775,0.24654054641723633
MLP_Medium,0.8198529411764706,0.8198529411764706,0.818923210651289,0.8198529411764706,0.8186413503577682,0.7583162655743301,0.0095999923941775,0.16929054260253906
LinearSVC,0.8161764705882353,0.8161764705882353,0.8146701388888888,0.8161764705882353,0.8147186147186147,0.774906127325482,0.02832747870199492,0.10854744911193848
LDA,0.8161764705882353,0.8161764705882353,0.8152859981548507,0.8161764705882353,0.814558664954059,0.7878306878306879,0.022690261665518328,0.014284849166870117
CatBoost,0.8125,0.8125,0.811487050960735,0.8125,0.8107252830327838,0.0,0.0,0.1907634735107422
NuSVC,0.8088235294117647,0.8088235294117647,0.8085148083623693,0.8088235294117647,0.8048639976199583,0.7869175627240143,0.027122226484723094,0.356644868850708
RandomForest,0.8088235294117647,0.8088235294117647,0.807269289849935,0.8088235294117647,0.8069827959988142,0.7970643454514422,0.020665102425149427,0.38461995124816895
Bagging,0.8051470588235294,0.8051470588235294,0.805147701760605,0.8051470588235294,0.8040988378516982,0.7915429254138932,0.02241464674249749,0.2529418468475342
QDA,0.8051470588235294,0.8051470588235293,0.8042092293596214,0.8051470588235294,0.8018226420426946,0.765710872162485,0.03193138241055061,0.016663551330566406
SGDClassifier,0.8014705882352942,0.8014705882352942,0.8031917604370515,0.8014705882352942,0.8014526632481807,0.7407706093189964,0.011525884951140325,0.04471778869628906
HistGradientBoosting,0.8014705882352942,0.8014705882352942,0.8005829670396203,0.8014705882352942,0.7998956442618415,0.7675328554360812,0.021674274849613834,1.0503532886505127
VotingEnsemble,0.8014705882352942,0.8014705882352942,0.8015743228857983,0.8014705882352942,0.7990349138401647,0.7979860044376172,0.023982624777405804,2.0767323970794678
SVC_Poly,0.7977941176470589,0.7977941176470589,0.8127203525641025,0.7977941176470589,0.794746050443459,0.7574031404676566,0.019638133025668754,0.2146141529083252
XGBoost,0.7904411764705882,0.7904411764705882,0.7893368617683686,0.7904411764705882,0.7886006304911612,0.7739972691585595,0.027860830758474297,0.6897389888763428
ExtraTrees,0.7904411764705882,0.7904411764705883,0.7921086043323913,0.7904411764705882,0.7884270788224791,0.7841568527052398,0.02628158490642286,0.2945129871368408
LightGBM,0.7867647058823529,0.7867647058823529,0.7865414845652887,0.7867647058823529,0.7854805246664408,0.7739930022188086,0.023782329861764272,1370.2529020309448
GradientBoosting,0.7867647058823529,0.786764705882353,0.7888176840644551,0.7867647058823529,0.7845760731627975,0.7813662741082096,0.023047354379299417,1.303762674331665
KNN_7,0.7720588235294118,0.7720588235294118,0.7791942880967272,0.7720588235294118,0.7698201035605616,0.7721539511862092,0.011979463557104808,0.02318596839904785
MLP_Small,0.7720588235294118,0.7720588235294117,0.7731711213225297,0.7720588235294118,0.7703410647220524,0.7343573988735279,0.02877678832847822,0.15533781051635742
RidgeClassifier,0.7647058823529411,0.7647058823529411,0.7628417289903955,0.7647058823529411,0.7625207683925195,0.7527607100187745,0.012359311600682214,0.013748407363891602
Perceptron,0.7573529411764706,0.7573529411764706,0.7854233120680488,0.7573529411764706,0.7453378137989084,0.6217357910906298,0.07591263571773378,0.03476858139038086
DecisionTree,0.7573529411764706,0.7573529411764706,0.7596134152585766,0.7573529411764706,0.7578774486383182,0.6743300904591228,0.028038665974210966,1.2367973327636719
AdaBoost,0.7536764705882353,0.7536764705882352,0.761497493734336,0.7536764705882353,0.7509959795321637,0.7620029015190305,0.03399294877623807,0.1605989933013916
KNN_5,0.75,0.75,0.7514087288964019,0.75,0.7474994021706477,0.7491082095920806,0.018435196532377157,0.023382902145385742
PassiveAggressive,0.75,0.75,0.7684160518667561,0.75,0.7435532963585295,0.6069508448540707,0.07030083602292753,0.04497933387756348
KNN_3,0.7463235294117647,0.7463235294117647,0.752038062825734,0.7463235294117647,0.7451191189691341,0.7398873527905787,0.03457794866563117,0.023383617401123047
GaussianNB,0.7426470588235294,0.7426470588235294,0.7420454545454546,0.7426470588235294,0.7395662560046432,0.7398702850315754,0.02172534655708085,0.012959003448486328
NearestCentroid,0.7279411764705882,0.7279411764705883,0.7260813912998619,0.7279411764705882,0.7234889483427359,0.720489844683393,0.021796931580738147,0.02295374870300293
ExtraTree,0.7022058823529411,0.7022058823529412,0.7056604634190841,0.7022058823529411,0.7010647568147841,0.6393155828639701,0.016996565976234227,0.7307276725769043
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.24907834101382492,0.0004608294930875556,0.04595804214477539
DummyStratified,0.20588235294117646,0.20588235294117646,0.2022137684247733,0.20588235294117646,0.2029381276994082,0.2490740740740741,0.028224248959506874,0.029525041580200195
